"","x"
"1152","HOMER1"
"1153","HOOK3"
"1154","HOPX"
"1155","HOXA1"
"1156","HOXA10"
"1157","HOXA11"
"1158","HOXA13"
"1159","HOXA2"
"1160","HOXA3"
"1161","HOXA4"
"1162","HOXA5"
"1163","HOXA6"
"1164","HOXA7"
"1165","HOXA9"
"1166","HOXB1"
"1167","HOXB13"
"1168","HOXB2"
"1169","HOXB3"
"1170","HOXB4"
"1171","HOXB5"
"1172","HOXB6"
"1173","HOXB7"
"1174","HOXB8"
"1175","HOXB9"
"1176","HOXC4"
"1177","HOXC9"
"1178","HOXD10"
"1179","HOXD11"
"1180","HOXD13"
"1181","HOXD3"
"1182","HOXD4"
"1183","HOXD8"
"1184","HOXD9"
"1185","HPCA"
"1186","HPGD"
"1187","HPN"
"1188","HPRT1"
"1189","HRAS"
"1190","HRNR"
"1191","HSD11B1"
"1192","HSD17B1"
"1193","HSD17B2"
"1194","HSD17B3"
"1195","HSD17B4"
"1196","HSD3B1"
"1197","HSD3B2"
"1198","HSF4"
"1199","HSPA1A"
"1200","HSPA1B"
"1201","HSPA5"
"1202","HSPB11"
"1203","HSPB7"
"1204","HSPG2"
"1205","HTN1"
"1206","HTN3"
"1207","HTR2B"
"1208","HTR5A"
"1209","HTR6"
"1210","HTRA1"
"1211","HTRA2"
"1212","HYAL1"
"1213","HYAL2"
"1214","HYAL3"
"1215","HYDIN"
"1216","IBSP"
"1217","ICAM1"
"1218","ID1"
"1219","ID2"
"1220","ID3"
"1221","IDH1"
"1222","IFI16"
"1223","IFITM5"
"1224","IFNA1"
"1225","IFNA10"
"1226","IFNA14"
"1227","IFNA16"
"1228","IFNA17"
"1229","IFNA2"
"1230","IFNA21"
"1231","IFNA4"
"1232","IFNA5"
"1233","IFNA6"
"1234","IFNA7"
"1235","IFNA8"
"1236","IFNB1"
"1237","IFNE"
"1238","IFNG"
"1239","IFNK"
"1240","IFNL1"
"1241","IFNW1"
"1242","IFT122"
"1243","IFT140"
"1244","IFT172"
"1245","IFT20"
"1246","IFT27"
"1247","IFT52"
"1248","IFT57"
"1249","IFT74"
"1250","IFT80"
"1251","IFT88"
"1252","IGF1"
"1253","IGF2"
"1254","IGF2BP1"
"1255","IGF2R"
"1256","IGFBP5"
"1257","IGFN1"
"1258","IGSF3"
"1259","IHH"
"1260","IKZF1"
"1261","IKZF3"
"1262","IL10"
"1263","IL11"
"1264","IL12B"
"1265","IL12RB1"
"1266","IL15"
"1267","IL15RA"
"1268","IL17A"
"1269","IL17D"
"1270","IL17F"
"1271","IL18"
"1272","IL18R1"
"1273","IL1RL2"
"1274","IL2"
"1275","IL20"
"1276","IL21"
"1277","IL23A"
"1278","IL23R"
"1279","IL25"
"1280","IL27"
"1281","IL2RA"
"1282","IL3"
"1283","IL31RA"
"1284","IL34"
"1285","IL36B"
"1286","IL4"
"1287","IL4I1"
"1288","IL4R"
"1289","IL5"
"1290","IL6"
"1291","IL6R"
"1292","IL7"
"1293","IL7R"
"1294","ILDR2"
"1295","ILK"
"1296","IMMP2L"
"1297","IMPDH2"
"1298","INA"
"1299","ING2"
"1300","INHA"
"1301","INHBA"
"1302","INHBB"
"1303","INPP5D"
"1304","INPPL1"
"1305","INSIG1"
"1306","INSIG2"
"1307","INSL3"
"1308","INSM1"
"1309","INSR"
"1310","INTU"
"1311","IQGAP1"
"1312","IREB2"
"1313","IRF1"
"1314","IRF4"
"1315","IRF6"
"1316","IRF7"
"1317","IRF8"
"1318","IRS2"
"1319","IRX1"
"1320","IRX2"
"1321","IRX3"
"1322","IRX4"
"1323","IRX5"
"1324","ISG15"
"1325","ISL1"
"1326","ISL2"
"1327","ITFG2"
"1328","ITGA11"
"1329","ITGA2"
"1330","ITGA2B"
"1331","ITGA3"
"1332","ITGA4"
"1333","ITGA6"
"1334","ITGA7"
"1335","ITGA8"
"1336","ITGAM"
"1337","ITGAX"
"1338","ITGB1"
"1339","ITGB1BP1"
"1340","ITGB1BP2"
"1341","ITGB4"
"1342","ITGB6"
"1343","ITGB8"
"1344","ITK"
"1345","ITM2A"
"1346","ITPKB"
"1347","ITSN1"
"1348","IVL"
"1349","JAG1"
"1350","JAG2"
"1351","JAK2"
"1352","JAK3"
"1353","JAM3"
"1354","JARID2"
"1355","JHY"
"1356","JMJD6"
"1357","JPH1"
"1358","JPH2"
"1359","JUN"
"1360","JUNB"
"1361","JUP"
"1362","KANK2"
"1363","KAT2A"
"1364","KAT2B"
"1365","KAT6A"
"1366","KAT7"
"1367","KAZN"
"1368","KBTBD8"
"1369","KCNA1"
"1370","KCNAB1"
"1371","KCNC1"
"1372","KCNC2"
"1373","KCNE2"
"1374","KCNJ8"
"1375","KCNK2"
"1376","KCNK3"
"1377","KCNQ1"
"1378","KCNQ4"
"1379","KCP"
"1380","KDF1"
